R: 165 	 G: 119 	 B: 162
R: 185 	 G: 139 	 B: 183
R: 185 	 G: 139 	 B: 183
R: 165 	 G: 119 	 B: 162
R: 139 	 G: 136 	 B: 120
R: 149 	 G: 146 	 B: 131
R: 139 	 G: 136 	 B: 120
R: 129 	 G: 126 	 B: 110
R: 197 	 G: 210 	 B: 166
R: 166 	 G: 179 	 B: 135
R: 156 	 G: 169 	 B: 125
R: 146 	 G: 159 	 B: 115
R: 136 	 G: 125 	 B: 90
R: 136 	 G: 125 	 B: 90
R: 147 	 G: 136 	 B: 100
R: 147 	 G: 136 	 B: 100
R: 208 	 G: 183 	 B: 163
R: 177 	 G: 152 	 B: 133
R: 177 	 G: 152 	 B: 133
R: 167 	 G: 142 	 B: 123
R: 155 	 G: 144 	 B: 109
R: 176 	 G: 165 	 B: 129
R: 165 	 G: 154 	 B: 119
R: 165 	 G: 154 	 B: 119
R: 155 	 G: 154 	 B: 126
R: 155 	 G: 154 	 B: 126
R: 175 	 G: 174 	 B: 147
R: 155 	 G: 154 	 B: 126
R: 168 	 G: 167 	 B: 139
R: 138 	 G: 136 	 B: 109
R: 178 	 G: 177 	 B: 150
R: 189 	 G: 187 	 B: 160
R: 129 	 G: 128 	 B: 100
R: 149 	 G: 148 	 B: 120
R: 170 	 G: 168 	 B: 141
R: 149 	 G: 148 	 B: 120
R: 134 	 G: 133 	 B: 106
R: 124 	 G: 123 	 B: 95
R: 124 	 G: 123 	 B: 95
R: 114 	 G: 113 	 B: 85
R: 144 	 G: 131 	 B: 107
R: 164 	 G: 151 	 B: 127
R: 123 	 G: 110 	 B: 86
R: 144 	 G: 131 	 B: 107
R: 137 	 G: 122 	 B: 110
R: 66 	 G: 51 	 B: 39
R: 137 	 G: 122 	 B: 110
R: 107 	 G: 92 	 B: 80
R: 26 	 G: 4294967294 	 B: 1
R: 56 	 G: 28 	 B: 32
R: 87 	 G: 58 	 B: 62
R: 117 	 G: 89 	 B: 93
R: 130 	 G: 101 	 B: 105
R: 130 	 G: 101 	 B: 105
R: 160 	 G: 132 	 B: 136
R: 120 	 G: 91 	 B: 95
R: 85 	 G: 82 	 B: 67
R: 85 	 G: 82 	 B: 67
R: 106 	 G: 103 	 B: 87
